#{"t_start": 1707960599.2506545, "env_id": "None"}
r,l,t
-1252.5621,720,2.89821
-1261.1459,720,2.89821
-1272.6309,720,2.89821
-1255.7667,720,2.89821
-1260.9226,720,2.89821
-1256.3274,720,2.89821
-1251.1992,720,2.89821
-1249.0969,720,2.89821
-1248.3037,720,5.679141
-1261.1587,720,5.679141
-1263.96,720,5.679141
-1259.9928,720,5.679141
-1260.4243,720,5.679141
-1254.4109,720,5.679141
-1263.5327,720,5.679141
-1267.9733,720,5.679141
-1258.7241,720,28.22228
-1257.189,720,28.223277
-1245.533,720,28.223277
-1254.9407,720,28.223277
-1265.6442,720,28.223277
-1248.4459,720,28.223277
-1268.0543,720,28.223277
-1262.7954,720,28.223277
-1238.7006,720,30.623493
-1244.914,720,30.623493
-1237.1797,720,30.623493
-1243.5209,720,30.623493
-1236.1008,720,30.623493
-1242.7046,720,30.623493
-1239.8378,720,30.624491
-1234.0684,720,30.624491
-1242.8364,720,33.101996
-1233.0896,720,33.101996
-1236.8983,720,33.101996
-1234.7396,720,33.101996
-1241.206,720,33.101996
-1242.3282,720,33.101996
-1239.2762,720,33.101996
-1242.2789,720,33.101996
-1230.8959,720,53.209089
-1227.6561,720,53.209089
-1236.9971,720,53.209089
-1235.5612,720,53.209089
-1226.8503,720,53.209089
-1236.2665,720,53.209089
-1237.495,720,53.209089
-1243.0347,720,53.209089
-1227.3179,720,55.601253
-1227.0511,720,55.601253
-1221.7019,720,55.601253
-1217.2211,720,55.601253
-1217.9006,720,55.601253
-1215.3502,720,55.601253
-1229.3597,720,55.601253
-1228.1971,720,55.601253
-1230.8486,720,57.964545
-1221.8235,720,57.964545
-1229.0867,720,57.964545
-1213.1571,720,57.964545
-1222.01,720,57.964545
-1233.2358,720,57.965545
-1225.0751,720,57.965545
-1215.871,720,57.965545
-1221.8312,720,77.970959
-1218.4641,720,77.970959
-1212.6062,720,77.970959
-1214.942,720,77.970959
-1211.6421,720,77.970959
-1219.1547,720,77.970959
-1212.6038,720,77.970959
-1208.9917,720,77.970959
-1210.933,720,80.352297
-1208.4497,720,80.352297
-1202.7925,720,80.352297
-1206.3312,720,80.352297
-1194.883,720,80.352297
-1203.241,720,80.352297
-1204.8845,720,80.352297
-1203.4844,720,80.352297
-1199.342,720,82.715722
-1202.4502,720,82.715722
-1203.2269,720,82.715722
-1193.917,720,82.715722
-1198.2811,720,82.715722
-1201.3042,720,82.715722
-1205.0725,720,82.715722
-1205.3535,720,82.715722
